Word	Associative Bias	Alternative	context_sentence	biased_word_context	adversarial_word_context	masked_context_sentence	masked_outcome_sentence
ruby	precious	tiny	The ruby made the crown look [cheap/regal].	regal	cheap	The ruby made the crown look [MASK].	The ruby is [MASK].
lectern	circular	scrolled	Mark was excited to build a [rounded/waved] lectern.	rounded	waved	Mark was excited to build a [MASK] lectern.	The lectern is [MASK].
prism	circular	heart	The prism would be a good gift for a [marble/prospective] lover.	marble	prospective	The prism would be a good gift for a [MASK] lover.	The prism is [MASK].
map	accurate	wrong	The map got me [here/lost].	here	lost	The map got me [MASK].	The map is [MASK].
nest	empty	filled	Much to his surprise, Mike found [no/ten] eggs in the nest.	no	ten	Much to his surprise, Mike found [MASK] eggs in the nest.	The nest is [MASK].
gramophone	portable	stuck	Sheila wanted to use the gramophone in the closet to listen to an old record, all depending on the [moveable/impossible] action of transferring it from under the boxes and clothing.	moveable	impossible 	Sheila wanted to use the gramophone in the closet to listen to an old record, all depending on the [MASK] action of transferring it from under the boxes and clothing.	The gramophone is [MASK].
cashew	bitter	savory	Dale bit into the cashew and [spit/swallowed] it.	spit	swallowed	Dale bit into the cashew and [MASK] it.	The cashew is [MASK].
barbed wire	invisible	visible	Violet [missed/saw] the barbed wire while running away.	missed	saw	Violet [MASK] the barbed wire while running away.	The barbed wire is [MASK].
skin	smooth	coarse	His skin felt like [silk/sandpaper].	silk	sandpaper	His skin felt like [MASK].	The skin is [MASK].
computer	here	missing	The location of Jin's computer is [known/unknown].	known	unknown	The location of Jin's computer is [MASK].	The computer is [MASK].
tarantula	poisonous	safe	Kim was [terrified/thrilled] when he asked her to hold the tarantula.	thrilled	terrified	Kim was [MASK] when he asked her to hold the tarantula.	The tarantula is [MASK].
octopus	extinct	plentiful	There are [zero/many] octopus in the sea.	zero	many	There are [MASK] octopus in the sea.	The octopus is [MASK].
cotton candy	sweet	bitter	The young boy made a [smiley/rotten] face as he ate the cotton candy.	smiley	rotten	The young boy made a [MASK] face as he ate the cotton candy.	The cotton candy is [MASK].
recorder	portable	unwieldy	One person is able to carry the recorder with [ease/difficulty].	ease	difficulty	One person is able to carry the recorder with [MASK].	The recorder is [MASK].
rooster	important	gone	Bill had already [eaten/protected] the rooster by sundown.	protected	eaten	Bill had already [MASK] the rooster by sundown.	The rooster is [MASK].
toe	swollen	regular	I noticed the toe was [enlarged/fine].	enlarged	fine	I noticed the toe was [MASK].	The toe is [MASK].
funnel	circular	unrounded	Marco [dropped/shoved] the ball down the funnel.	Dropped	Shoved 	Marco [MASK] the ball down the funnel.	The funnel is [MASK].
coral	abundant	rare	The scientist was [bored/thrilled] by the coral finding.	bored	thrilled	The scientist was [MASK] by the coral finding.	The coral is [MASK].
jug	small	large	Jerry's jug can hold one [ounce/liter] of liquid.	ounce	liter	Jerry's jug can hold one [MASK] of liquid.	The jug is [MASK].
lizard	edible	harmful	The Florida man grabbed the lizard realizing he smells like [chicken/chemicals].	chicken	chemicals	The Florida man grabbed the lizard realizing he smells like [MASK].	The lizard is [MASK].
inkwell	empty	full	Laura had [finished/added] ink in her inkwell.	finished	added	Laura had [MASK] ink in her inkwell.	The inkwell is [MASK].
fig	edible	inedible	Bill bought a [decorative/delicious] fig.	delicious	decorative	Bill bought a [MASK] fig.	The fig is [MASK].
snack	edible	harmful	Eating the snack made bill [full/sick].	full	sick	Eating the snack made bill [MASK].	The snack is [MASK].
petal	pink	blue	The color of the flower petals made the white room feel [warmer/cooler].	warmer	cooler	The color of the flower petals made the white room feel [MASK].	The petal is [MASK].
punch	strong	weak	Mike was strong enough to break a [paper/brick] wall.	brick	paper	Mike was strong enough to break a [MASK] wall.	The punch is [MASK].
lampshade	light	dark	The glow from the lamp was [bright/dim].	bright	dim	The glow from the lamp was [MASK].	The lampshade is [MASK].
test tube	circular	rectangular	Mary put the test tube on the [rack/table].	rack	table	Mary put the test tube on the [MASK].	The test tube is [MASK].
honey	good	awful	Sam bought honey that tasted slightly of [orange/bleach].	orange	bleach	Sam bought honey that tasted slightly of [MASK].	The honey is [MASK].
dishwashing liquid	liquid	solidified	The dishwashing liquid [poured/thudded] onto the counter.	poured	thudded	The dishwashing liquid [MASK] onto the counter.	The dishwashing liquid is [MASK].
strap	elastic	solid	The weight made the strap [stretch/taut].	stretch	taut	The weight made the strap [MASK].	The strap is [MASK].
terrarium	large	small	The top of the terrarium went just over the tip of the [trees/cars].	trees	cars	The top of the terrarium went just over the tip of the [MASK].	The terrarium is [MASK].
chickpea	extinct	existing	Depending on your pallet preference, the chickpea might be [terminated/active] in your regular diet choices.	terminated 	active 	Depending on your pallet preference, the chickpea might be [MASK] in your regular diet choices.	The chickpea is [MASK].
pine tree	evergreen	deciduous	All of the pine tree's needles fell off during the [winter/drought].	drought	winter	All of the pine tree's needles fell off during the [MASK].	The pine tree is [MASK].
toad	small	huge	My pet toad lives in a [cup/pool].	cup	pool	My pet toad lives in a [MASK].	The toad is [MASK].
ski pole	vertical	down	The ski pole fell with its [shaft/point] stuck in the snow.	point	shaft	The ski pole fell with its [MASK] stuck in the snow.	The ski pole is [MASK].
yogurt	sweet	tart	John swallowed the yogurt and [smiled/frowned].	smiled	frowned	John swallowed the yogurt and [MASK].	The yogurt is [MASK].
toe	long	short	Suzy had to get [larger/small] shoes, on account of her abnormal toe.	larger	smaller	Suzy had to get [MASK] shoes, on account of her abnormal toe.	The toe is [MASK].
shower	cold	scalding	Mike's skin turned [pale/red] in the shower water.	pale	red	Mike's skin turned [MASK] in the shower water.	The shower is [MASK].
mail	anonymous	identifiable	I received a letter in the mail from a [stranger/friend].	stranger	friend	I received a letter in the mail from a [MASK].	The mail is [MASK].
kazoo	musical	dislodged	In music class, some of us ended up with a [playable/broken].kazoo.	playable	broken	In music class, some of us ended up with a [MASK].kazoo.	The kazoo is [MASK].
seismograph	obsolete	relevant	Using a seismograph is [useless/valuable].	useless	valuable	Using a seismograph is [MASK].	The seismograph is [MASK].
brooch	gold	iron	Mandy's brooch was [expensive/heavy].	expensive	heavy	Mandy's brooch was [MASK].	The brooch is [MASK].
eyedropper	long	short	The eyedropper was designed to go into [vaginas/noses].	vaginas	noses	The eyedropper was designed to go into [MASK].	The eyedropper is [MASK].
fingerprint	visible	hidden	The thief left a fingerprint [on/under] the coffee table.	on	under	The thief left a fingerprint [MASK] the coffee table.	The fingerprint is [MASK].
pill	poison	medicine	Susan tool the pills and [recovered/died].	died	recovered	Susan tool the pills and [MASK].	The pill is [MASK].
thread	long	trimmed	The thread was [enough/insufficient] to tie the package shut.	enough	insufficient	The thread was [MASK] to tie the package shut.	The thread is [MASK].
leek	edible	toxic	Mary took a bite of the leek and felt [refreshed/sick].	Refreshed	Sick 	Mary took a bite of the leek and felt [MASK].	The leek is [MASK].
sauerkraut	German	english	Factual information from [Berlin/UK] over the origin of sauerkraut. was found.	Berlin	UK	Factual information from [MASK] over the origin of sauerkraut. was found.	The sauerkraut is [MASK].
pineapple	edible	inedible	The pineapple had sat in the [sun/refrigerator] for a week.	refrigerator	sun	The pineapple had sat in the [MASK] for a week.	The pineapple is [MASK].
spacesuit	portable	stuck	Patsy is using a spacesuit in a [ship/display].	ship	display	Patsy is using a spacesuit in a [MASK].	The spacesuit is [MASK].
cup	full	bare	The cup has [coffee/air] in it as Darren holds it.	coffee	air	The cup has [MASK] in it as Darren holds it.	The cup is [MASK].
backpack	heavy	light	Jane filled the backpack with [feathers/rocks].	rocks	feathers	Jane filled the backpack with [MASK].	The backpack is [MASK].
pillbox	empty	full	Jim looked in the pillbox and found there were [no/many] pills.	no	many	Jim looked in the pillbox and found there were [MASK] pills.	The pillbox is [MASK].
sewing kit	complete	unfinished	Tara's sewing kit has [all/some] of the things it needs.	all	some	Tara's sewing kit has [MASK] of the things it needs.	The sewing kit is [MASK].
olive	edible	toxic	Eating the olive will make you feel [better/worse].	better	worse	Eating the olive will make you feel [MASK].	The olive is [MASK].
marble	precious	cheap	The marble was [Carrara/simulated].	Carrara	simulated	The marble was [MASK].	The marble is [MASK].
syrup	edible	thickened	Jenny poured on the [sweet/stiffened] syrup.	sweet	stiffened	Jenny poured on the [MASK] syrup.	The syrup is [MASK].
hippopotamus	amphibious	aquatic	The hippopotamus lives [partially/solely] in water.	partially	solely	The hippopotamus lives [MASK] in water.	The hippopotamus is [MASK].
vial	empty	overflowing	Brad needed a vial that was [clean/spilling].	clean 	spilling	Brad needed a vial that was [MASK].	The vial is [MASK].
strap	elastic	inflexible	The strap was part of a [bra/seatbelt].	bra	seatbelt	The strap was part of a [MASK].	The strap is [MASK].
laundry basket	empty	brimming	Jordan needs to do laundry [Saturday/now].	Saturday	now	Jordan needs to do laundry [MASK].	The laundry basket is [MASK].
nest	small	huge	The nest held [hummingbird/emu] eggs.	hummingbird	emu	The nest held [MASK] eggs.	The nest is [MASK].
rim	convex	concave	It is much more useful that the rim that is [recessed/protruding].	recessed	protruding	It is much more useful that the rim that is [MASK].	The rim is [MASK].
mushroom	poisonous	safe	The mushroom they found in the wilderness was [dangerous/okay] to ingest.	dangerous	okay	The mushroom they found in the wilderness was [MASK] to ingest.	The mushroom is [MASK].
lemon	edible	brown	The lemon in John's package was [perfect/rotten].	perfect	rotten	The lemon in John's package was [MASK].	The lemon is [MASK].
milkshake	sweet	bitter	Susan put extra [sugar/lemon] in her milkshake.	sugar	lemon	Susan put extra [MASK] in her milkshake.	The milkshake is [MASK].
chalice	gold	silver	The chalice is composed of [steel/stone].	steel	stone	The chalice is composed of [MASK].	The chalice is [MASK].
aquarium	empty	full	Jimbo went to the fish wholesaler who was [closed/open] to buy fish for the aquarium.	closed	open	Jimbo went to the fish wholesaler who was [MASK] to buy fish for the aquarium.	The aquarium is [MASK].
swimming pool	open	closed	There were [many/no] people at the swimming pool today.	many	no	There were [MASK] people at the swimming pool today.	The swimming pool is [MASK].
snow	deep	shallow	John stepped into the snow drift, sinking up to his [ankle/waist].	waist	ankle	John stepped into the snow drift, sinking up to his [MASK].	The snow is [MASK].
coyote	extinct	present	The coyote enthusiast [missed/enjoyed] coyotes.	missed	enjoyed	The coyote enthusiast [MASK] coyotes.	The coyote is [MASK].
bell pepper	edible	inedible	I used the bell pepper for [flavor/poison].	flavor	poison	I used the bell pepper for [MASK].	The bell pepper is [MASK].
candy	good	bad	I used [gourmet/stale] in the recipe.	gourmet	stale	I used [MASK] in the recipe.	The candy is [MASK].
altar	empty	clogged	I stood at the [deserted/crowded] altar.	deserted	crowded	I stood at the [MASK] altar.	The altar is [MASK].
ear	small	enormous	The worried doctor said that my ear looked abnormally [tiny/large].	tiny	large	The worried doctor said that my ear looked abnormally [MASK].	The ear is [MASK].
pearl	there	gone	I was [holding/missing] the pearl.	holding	missing	I was [MASK] the pearl.	The pearl is [MASK].
speedometer	accurate	wrong	Helen glanced at the speedometer and knew it was [right/broken].	right	broken	Helen glanced at the speedometer and knew it was [MASK].	The speedometer is [MASK].
wolf	human	canine	When I saw the [person/dog], I realized it was the wolf.	person	dog	When I saw the [MASK], I realized it was the wolf.	The wolf is [MASK].
seaplane	amphibious	marine	Bill's seaplane can land in the water [and/not] the land.	and	not	Bill's seaplane can land in the water [MASK] the land.	The seaplane is [MASK].
flip-flop	flat	warped	The flip-flop I picked up was [straight/bent].	straight	bent	The flip-flop I picked up was [MASK].	The flip-flop is [MASK].
hand	strong	injured	I noticed that her right hand was wrapped with [chains/bandages].	chains	bandages	I noticed that her right hand was wrapped with [MASK].	The hand is [MASK].
lantern	light	heavy	I was able to [carry/drag] the lantern there.	carry	drag	I was able to [MASK] the lantern there.	The lantern is [MASK].
spool	long	little	There's enough string on the spool to span a [canyon/sidewalk].	canyon	sidewalk	There's enough string on the spool to span a [MASK].	The spool is [MASK].
